Factor Date_Bucket,Vintage_Bucket,State Code_Bucket,Orig Bal,Number Of Loans,PoolCount,Active LoanCount,CPR,Curtailment(CPR),Loan Age,,Vintage,DTI,Current Balance,FICO,LTV
20170501,2010,AK,255860312.02,"1,190",,"1,181",11.45,1.12,81,,2010,31.2,"213,860,876.54",744.85,74.1
20170501,2011,AK,239802831.15,"1,092",,"1,084",10.33,1.2,70,,2011,32.28,"205,272,996.75",748.93,75.79
20170501,2012,AK,392159540.27,"1,583",,"1,577",4.94,0.68,58,,2012,31.59,"344,436,865.73",751.48,77.41
20170501,2013,AK,410402525.50,"1,708",,"1,692",11.14,0.58,47,,2013,31.88,"367,652,613.49",748.7,77.24
20170501,2014,AK,333246159.10,"1,336",,"1,325",12.7,1.54,34,,2014,33.75,"307,997,375.92",749.49,81.3
20170501,2015,AK,454833484.58,"1,731",,"1,720",7.65,0.45,22,,2015,33.63,"432,531,668.29",747.72,79.97
20170501,2016,AK,568534439.28,"2,234",,"2,228",4.04,0.84,10,,2016,34.41,"554,864,639.74",746.38,79.68
20170501,2017,AK,129210718.38,501,,499,3.36,1.18,3,,2017,35.46,"128,307,147.56",742.87,78.81
20170501,2010,AR,363078014.74,"2,584",,"2,566",10.7,1.08,81,,2010,29.68,"307,285,910.16",751.26,75.17
20170501,2011,AR,309143918.24,"2,093",,"2,063",15.03,0.69,70,,2011,29.66,"266,335,606.50",752.58,76.7
20170501,2012,AR,659381062.63,"4,152",,"4,118",9.36,0.84,57,,2012,29.34,"580,328,898.76",755.67,78.64
20170501,2013,AR,876006108.77,"5,456",,"5,412",10.04,0.72,47,,2013,30.3,"786,328,605.13",749.83,79.45
20170501,2014,AR,681141554.12,"4,238",,"4,189",14.35,0.67,34,,2014,31.59,"630,963,149.81",748.64,82.25
20170501,2015,AR,1002645212.37,"5,832",,"5,799",7.18,0.74,22,,2015,31.3,"954,321,184.98",750.62,80.92
20170501,2016,AR,1251545688.71,"6,895",,"6,859",6.12,0.73,10,,2016,32.26,"1,221,713,941.58",747.3,81.83
20170501,2017,AR,284663394.11,"1,586",,"1,585",2.78,1.21,3,,2017,32.87,"282,815,001.82",747.03,81.33
20170501,2010,CA,8451972780.45,"35,784",,"35,316",16.59,0.99,81,,2010,31.14,"7,124,634,145.10",756.83,67.9
20170501,2011,CA,8320790273.94,"34,762",,"34,408",12.61,0.99,70,,2011,31.47,"7,192,351,104.71",758.49,67.32
20170501,2012,CA,27723726135.58,"98,366",,"97,685",8.37,0.91,57,,2012,32.57,"24,461,172,021.49",767.44,66.11
